instructor_type_id,name,company,bio,headshot,created,last_modified
2f2a5301-4890-4919-9335-8d41b2512965,Brig Bowles,ESRI,"Joseph Brigham Bowles is a Solutions Engineer and works out of the Esri San Antonio office. He has been with Esri for twenty plus years focusing mainly on the technical side of the sales process. His experience is in helping companies and individuals get their data into a spatial format to better find answers to questions. His areas of expertise include web mapping, server based GIS, developer technologies, and making spatial technology available to everyone.",https://tnris-org-static.s3.amazonaws.com/images/brig_headshot.jpg,08/07/19 10:44 AM,08/07/19 10:44 AM
842add95-1f0e-4385-946e-11ca7fedc4bb,Teresa Howard,,"Teresa Howard is a Research Associate at the University of Texas at Austin Center for Space Research. For nearly two decades, she conducted applied research that incorporates geospatial techniques (GIS, satellite and airborne remote sensing, GPS, and digital cartography) for emergency response, land and water resources monitoring, and land cover change detection. Currently, her focus is the introduction of remote sensing technologies to high school and university students through internships and guided research. Ms. Howard formerly served as adjunct professor in the department of Geographic Information Systems at Austin Community College, where she taught classes on Esri's ModelBuilder and Python scripting for GIS. Ms. Howard holds a Master of Applied Geography degree from Texas State University-San Marcos.",https://tnris-org-static.s3.amazonaws.com/images/howard_headshot.jpg,08/07/19 10:44 AM,08/07/19 10:44 AM
66393cd9-9ec1-4d68-ba31-e6605e152c34,James Castagneri,U.S. Census Bureau,"Jim Castagneri is a Geographer with the U.S. Census Bureau who manages geographic programs for Texas and the Rocky Mountain west. Early in his career, Jim was involved in the creation of the TIGER system. More recently, Jim has played a pivotal role in bringing GIS analysis to survey management and Census field operations. He specializes in Census statistical geography and the spatial analysis of demographic data.",https://tnris-org-static.s3.amazonaws.com/images/james_headshot.jpg,08/07/19 10:44 AM,08/07/19 10:44 AM
1fd05553-a46b-4073-96c5-a71143b50801,Kathleen Clancy,ESRI,"Kathleen Clancy is a Solution Engineer in the San Antonio Regional Office. While new to Esri, Kathleen has been working with Esri’s technology for over a decade. Kathleen’s previous experience includes serving as a GIS and Natural Resource Management Volunteer with the Peace Corps in Mexico’s National Park Service and working as a GIS Specialist and Research Associate for Disney’s Animals, Science, and Environment Team. Kathleen enjoys helping users find new and creative ways to meet their needs through the use of technology.",https://tnris-org-static.s3.amazonaws.com/images/clancy_headshot.jpg,08/07/19 10:44 AM,08/07/19 10:44 AM
47956169-b935-44f3-976d-b92e857cbf06,Lacey Loftin,U.S. Census Bureau,"Lacey Loftin is a statistician with the United States Census Bureau. In the 14 years that she has been with the agency, she has served as an Analyst for the Economic Census, supervised data collection operations, acted as a congressional liaison during the 2010 Census, and worked to create the Statistics in Schools program. Lacey's time is now focused on outreach to organizations and governments in Texas, sharing data, tools and useful applications.",https://tnris-org-static.s3.amazonaws.com/images/lacey_headshot.jpg,08/07/19 10:44 AM,08/07/19 10:44 AM
e3f35844-9d54-4496-98b3-0053204d641e,Zena Pelletier,ESRI,Zena Pelletier is a Solution Engineer on the State & Local Government team out of the San Antonio Regional Office. She has been with Esri 3 ½ years and she works with local governments in the region to make full use of Esri software and technology. She enjoys helping users deploy solutions to meet their business needs and objectives.,https://tnris-org-static.s3.amazonaws.com/images/zena_headshot.jpg,08/07/19 10:44 AM,08/07/19 10:44 AM
3e23f777-1c4f-43f2-9724-2eb5a6e925a9,Claire DeVaughan,USGS,"Claire DeVaughan is the National Map Liaison for Texas, Oklahoma, and Utah. She collaborates with partners and users of The National Map to improve the timeliness, quality and accessibility of geospatial data for the user community. She has been involved in geospatial activities in Texas since 2003, Oklahoma since 2015, and Utah since February 2019. She has been with USGS since 1989, in various roles as a geographer and cartographer.",https://tnris-org-static.s3.amazonaws.com/images/devaughan_headshot.jpg,08/07/19 10:44 AM,08/07/19 10:44 AM
757bf0af-5e74-4b36-bfb5-d09b883ba614,Eric Pimpler,Geospatial Training Services,"Eric is the founder and owner of GeoSpatial Training Services (geospatialtraining.com) and has over 25 years experience as an application developer, data scientist, and trainer using ArcGIS Desktop, ArcGIS Enterprise, ArcGIS Online, and ArcGIS Pro. Eric is currently focused on data science applications with Python, R, and GIS. Eric is the author of Data Visualization and Exploration with R, Programming ArcGIS with Python Cookbook, Building Web and Mobile ArcGIS Server Applications with JavaScript, Spatial Analytics with ArcGIS, ArcGIS Blueprints, and Programming ArcGIS Pro with Python. Eric has a Bachelor’s degree in Geography from Texas A&M University and a Master's of Applied Geography degree with a concentration in GIS from Texas State University.",https://tnris-org-static.s3.amazonaws.com/images/eric_headshot.jpg,08/07/19 10:44 AM,08/07/19 10:44 AM
bc0027a7-de9e-41ee-84df-6d358a84b5dc,Bill Hodge,GISCI,"Bill is the Executive Director of GISCI and their geospatial Paladin since 2013, responsible for all things GISP. A GISP since 2010, he came into the GIS profession in the early 2000s with a Penn State MGIS Certiticate, and extensive Govt. GIS experience from the Federal to the Municipal level.",https://tnris-org-static.s3.amazonaws.com/images/hodges_headshot.jpg,08/07/19 10:44 AM,08/07/19 10:44 AM
db5007ee-404c-4fe9-b96b-aa3684361d81,Brian King,Freese & Nichols,"Brian King, GIS Mapping Specialist and Archeologist with Freese & Nichols’ (FNI) Austin, TX office. His responsiblities include drafting and design tasks in the areas of floodplain modeling and mapping, hydrology and hydraulics, Drone / UAS Mapping, water resources studies, ArcGIS web mapping, ArcGIS Data Collection apps, photogrammetry, remote sensing, and Lidar processing. With 19 years working in the engineering, environmental, and archeology fields, he has a passion for the industry, specifically geospatial solutions. He is an assistant instructor at the Pennsylvania State University John A. Dutton e-Education Institute, College of Earth and Mineral Sciences. Through his involvement with URISA Texas for many years, he has received recognition as a leader in the field of GIS and has served in numerous State and National elected and appointed positions.",https://tnris-org-static.s3.amazonaws.com/images/king_headshot.jpg,08/07/19 10:44 AM,08/07/19 10:44 AM
